round_dir	species	reference	foliage	photo_width_over_height	still_width_over_height	photo_crown_base	still_crown_base	photo_occupied	still_occupied	photo_outline_deviation	still_outline_deviation	photo_centre_mean	still_centre_mean	still_sha256	pair_sha256
round21-integration	silver-birch	S-BARK	hidden	1.0675	1.1222	1.0000	0.0000	0.4708	0.4084	0.1311	0.4400	92.4000	64.9000	a54b1308199ebfd98a3931f9a7f9b0bdbc81be9b97dabe9bced91edb563c776c	62f64e4dbdcb8177d86975b2d012ee1c68b66ecfab388cbc3e3d2db72d102e1a
round21-integration	silver-birch	S-WHOLE	leaf-on	0.8461	0.9049	0.0800	0.1862	0.4426	0.4250	0.2189	0.1180	83.0000	68.7000	8a680f805267e039d137a36580f65c89f9fd4a6e9087200272ffbfee57741025	0e29b98c69a7feea31185d62348cc6d2e87781249a5ee1087c01e15653a81c11
round22-ships	european-beech	B-BARE	hidden	0.7417	0.7358	0.2500	0.3034	0.2813	0.4115	0.2937	0.1130	99.9000	116.3000	4c7373ad697e4038efba254fa08bfa7943207f57979d4e3905c37136bea2ec75	88fd9eea2ce8ebac8dddc00d7236095878cc5a42ebbca9dbebc0271fbc47f626
round22-ships	european-beech	B-BASE	hidden	0.6000	0.6674	1.0000	0.0063	0.0454	0.2172		0.1731	129.7000	120.8000	6a067457b2460f166b59c25ca3a5b29e941822f7aaff37f3589f598d8629439c	1fb3a7ad8306af584b7cdb856fd4204609c0407459a239e0f536e7b5edc00d86
round22-ships	european-beech	B-WHOLE	leaf-on	0.6965	0.7504	0.1200	0.0960	0.4566	0.5321	0.2274	0.1697	79.7000	56.4000	7e69fda3e95b317fcb9d89e15e32179c54fdd316a57d1c3223d6e26639b8b490	64297297eaf2814545e8278bab98b84f7c5dca52228e745ca257afd25a99ad3f
round22-ships	silver-birch	S-BARE	hidden	0.7018	0.6690	0.1500	0.1960	0.4587	0.4880	0.1676	0.1046	91.3000	86.4000	8c32061600e2d8ee15fb4115138501ddebdfc28b3347a61c245aea4bba583598	91562280e8abe47140f931b96d9a05af203a24fdb7d1d2914b5902df4ea8d37b
round22-ships	silver-birch	S-BARK	hidden	1.0675	1.1222	1.0000	0.0000	0.4708	0.4084	0.1311	0.4400	92.4000	64.9000	a54b1308199ebfd98a3931f9a7f9b0bdbc81be9b97dabe9bced91edb563c776c	62f64e4dbdcb8177d86975b2d012ee1c68b66ecfab388cbc3e3d2db72d102e1a
round22-ships	silver-birch	S-WHOLE	leaf-on	0.8461	0.9049	0.0800	0.1862	0.4426	0.4250	0.2189	0.1180	83.0000	68.7000	8a680f805267e039d137a36580f65c89f9fd4a6e9087200272ffbfee57741025	0e29b98c69a7feea31185d62348cc6d2e87781249a5ee1087c01e15653a81c11
round24-birch-bark	silver-birch	S-BARE	hidden	0.7018	0.6690	0.1500	0.1994	0.4587	0.4878	0.1676	0.1042	91.3000	86.9000	5b9645003149a978b487e427d6e0955e0fc595b3482563aa8d3bbd5ab772e275	93f0aeed2afaf600c684500f10d20afe8664638281f91fd260c9f6f375e852e2
round24-birch-bark	silver-birch	S-BARK	hidden	1.0675	1.3347	1.0000	0.0000	0.4708	0.3602	0.1311	0.4943	92.4000	136.1000	758393146c8103d05948466a3b29cc59f528cb01e55ab46625aa388c763c0621	f83b75601ad69b1eaf31b78ca9138938ea63aac456f8562679017fc98787d12e
